,name,latitud,longitud
0,Starbucks,-23.591729876757906,-46.69017359807969
1,Starbucks,-23.610453319247927,-46.69727886452669
2,Starbucks,-23.544872644723355,-46.64286939974116
3,Starbucks,-23.622330321529876,-46.69882535934448
4,Starbucks,-23.544872644723355,-46.64286939974116
5,Starbucks,-23.544872644723355,-46.64286939974116
6,,,
7,Starbucks,-23.544872644723355,-46.64286939974116
8,Starbucks,-23.59479889405642,-46.689611124785976
9,Starbucks,-23.591729876757906,-46.69017359807969
10,Starbucks,-23.58253999931389,-46.67644285624416
11,Starbucks,-23.59479889405642,-46.689611124785976
